date,max_temp,mean_temp,min_temp
19790101,2.3,-4.1,-7.5
19790102,1.6,-2.6,-7.5
19790103,1.3,-2.8,-7.2
19790104,-0.3,-2.6,-6.5
19790105,5.6,-0.8,-1.4
19790106,8.3,-0.5,-6.6
19790107,8.5,1.5,-5.3
19790108,5.8,6.9,5.3
19790109,5.2,3.7,1.6
19790110,4.9,3.3,1.4
19790111,2.9,2.6,0.3
19790112,2.0,0.4,-2.0
19790113,4.3,-2.6,-7.1
19790114,6.7,-0.6,-5.6
19790115,5.9,3.8,1.0
19790116,2.6,5.0,4.1
19790117,1.9,2.1,1.6
19790118,3.0,0.8,-0.2
19790119,7.2,0.8,-1.4
19790120,3.5,3.1,-1.0
19790121,1.5,0.0,-3.5
19790122,0.3,-0.2,-1.8
19790123,2.9,-1.0,-2.3
19790124,5.6,-1.4,-5.6
19790125,2.8,0.6,-4.5
19790126,1.6,0.8,-1.1
19790127,4.5,-1.8,-5.2
19790128,4.8,0.0,-4.4
19790129,4.0,1.9,-1.0
19790130,7.3,0.7,-2.6
19790131,9.1,2.1,-3.1
19790201,4.0,5.2,1.2
19790202,5.9,2.8,1.5
19790203,4.5,0.9,-4.1
19790204,6.0,1.6,-1.2
19790205,4.0,3.7,1.4
19790206,6.8,1.2,-1.6
19790207,3.7,3.3,-0.2
19790208,4.0,2.0,0.3
19790209,3.5,2.4,0.8
19790210,2.9,2.8,2.1
19790211,5.4,2.4,1.9
19790212,8.1,2.8,0.3
19790213,0.2,4.2,0.3
19790214,-0.8,-0.2,-0.7
19790215,0.6,-2.2,-3.7
19790216,-0.8,-1.2,-3.1
19790217,0.7,-1.2,-1.5
19790218,1.9,-0.6,-1.8
19790219,2.8,0.5,-0.9
19790220,3.6,1.6,0.3
19790221,7.4,2.1,0.6
19790222,8.7,4.3,1.2
19790223,5.5,4.4,0.2
19790224,6.9,2.9,0.3
19790225,6.7,1.8,-3.4
19790226,8.9,1.6,-3.4
19790227,6.1,3.7,-1.5
19790228,9.7,4.4,2.7
19790301,11.9,3.5,-2.7
19790302,12.6,6.8,1.6
19790303,10.5,11.0,9.4
19790304,11.0,7.4,4.3
19790305,9.0,5.4,-0.1
19790306,9.4,6.3,3.6
19790307,10.5,5.6,1.9
19790308,11.0,5.6,0.7
19790309,11.5,7.8,4.5
19790310,13.8,5.8,0.0
19790311,10.7,8.2,2.7
19790312,4.9,7.2,3.7
19790313,3.8,4.6,4.4
19790314,2.5,2.8,1.8
19790315,1.3,1.8,1.2
19790316,6.9,0.7,0.1
19790317,9.1,3.5,0.1
19790318,6.1,5.1,1.1
19790319,11.0,4.2,2.4
19790320,8.5,7.0,3.0
19790321,9.6,5.7,2.9
19790322,9.2,5.0,0.5
19790323,11.5,3.1,-3.0
19790324,15.3,5.0,-1.6
19790325,8.0,10.2,5.0
19790326,11.3,6.2,4.3
19790327,8.1,7.2,3.0
19790328,7.6,4.8,1.4
19790329,7.6,4.8,1.9
19790330,10.6,5.5,3.4
19790331,11.6,5.4,0.3
19790401,8.3,8.0,4.5
19790402,8.6,4.4,0.5
19790403,7.9,3.8,-1.1
19790404,8.0,4.0,0.0
19790405,7.9,4.0,0.0
19790406,9.8,3.1,-1.7
19790407,9.3,5.8,1.8
19790408,13.7,6.8,4.2
19790409,16.1,9.5,5.3
19790410,15.9,11.8,7.5
19790411,12.8,13.1,10.3
19790412,17.5,10.1,7.4
19790413,21.7,12.8,8.0
19790414,22.4,15.2,8.6
19790415,15.2,15.3,8.2
19790416,9.0,11.3,7.4
19790417,13.2,7.3,5.6
19790418,14.5,7.2,1.2
19790419,12.7,10.2,5.9
19790420,12.3,10.6,8.4
19790421,13.5,8.0,3.7
19790422,13.5,8.7,3.9
19790423,11.5,11.0,8.4
19790424,11.4,9.0,6.5
19790425,12.0,7.4,3.5
19790426,12.0,8.6,5.2
19790427,12.6,9.3,6.6
19790428,13.9,9.8,6.9
19790429,10.9,8.0,2.1
19790430,7.5,8.2,5.5
19790501,8.0,5.6,3.8
19790502,10.0,4.6,1.1
19790503,9.1,4.6,-0.9
19790504,11.1,4.4,-0.3
19790505,12.4,6.4,1.7
19790506,15.0,6.7,1.0
19790507,16.0,9.4,3.9
19790508,15.6,11.2,6.4
19790509,13.6,10.0,4.5
19790510,16.1,10.4,7.3
19790511,20.8,12.6,9.2
19790512,23.4,16.0,11.2
19790513,26.1,17.4,11.5
19790514,26.2,18.5,10.9
19790515,22.5,19.6,12.9
19790516,15.2,17.4,12.4
19790517,16.0,11.8,8.5
19790518,17.2,12.2,8.3
19790519,14.0,10.9,4.6
19790520,15.1,11.2,8.5
19790521,15.8,11.8,8.4
19790522,14.3,11.7,7.6
19790523,14.6,11.8,9.4
19790524,13.4,11.0,7.3
19790525,15.5,9.4,5.4
19790526,15.9,11.0,6.6
19790527,15.9,11.3,6.7
19790528,18.6,11.6,7.2
19790529,20.1,15.8,13.0
19790530,16.2,16.1,12.1
19790531,18.7,13.8,11.5
19790601,21.2,13.6,8.4
19790602,19.2,16.4,11.5
19790603,19.3,15.0,10.8
19790604,20.4,15.9,12.5
19790605,16.7,16.5,12.6
19790606,14.4,12.5,8.3
19790607,17.2,12.0,9.5
19790608,18.7,12.2,7.3
19790609,17.9,15.4,12.2
19790610,16.2,15.0,12.1
19790611,15.4,13.0,9.7
19790612,18.1,12.4,9.4
19790613,16.4,15.3,12.5
19790614,16.1,14.4,12.5
19790615,19.2,11.8,7.4
19790616,20.7,14.6,9.9
19790617,22.6,17.0,13.3
19790618,25.5,18.7,14.8
19790619,25.8,19.0,12.6
19790620,19.4,19.0,12.2
19790621,20.1,17.0,14.6
19790622,19.5,15.2,10.3
19790623,16.6,14.9,10.3
19790624,18.5,13.8,11.0
19790625,19.9,14.0,9.5
19790626,21.4,15.2,10.5
19790627,20.8,16.0,10.6
19790628,17.6,15.5,10.2
19790629,16.6,15.8,13.9
19790630,18.5,14.1,11.6
19790701,18.7,13.8,9.0
19790702,22.1,15.1,11.5
19790703,23.4,16.9,11.7
19790704,25.5,18.4,13.4
19790705,25.1,19.3,13.1
19790706,21.9,19.6,14.1
19790707,23.1,17.6,13.4
19790708,20.8,18.0,13.0
19790709,22.0,18.6,16.5
19790710,20.8,17.2,12.4
19790711,25.1,17.4,14.0
19790712,26.2,18.4,11.6
19790713,22.1,19.3,12.4
19790714,21.1,17.6,13.0
19790715,23.6,18.3,15.5
19790716,26.7,17.8,12.1
19790717,21.8,20.0,13.4
19790718,17.7,18.9,16.0
19790719,21.5,15.8,14.0
19790720,19.5,17.6,13.6
19790721,18.1,16.2,13.0
19790722,18.7,13.8,9.4
19790723,21.1,15.8,12.9
19790724,25.2,16.7,12.3
19790725,27.1,18.9,12.6
19790726,29.9,20.2,13.2
19790727,27.4,22.2,14.6
19790728,19.8,21.9,16.4
19790729,21.5,18.6,17.3
19790730,20.8,17.8,14.1
19790731,23.1,17.8,14.8
19790801,21.6,18.6,14.1
19790802,20.0,17.8,14.0
19790803,21.6,17.0,14.0
19790804,22.5,17.9,14.2
19790805,24.8,17.0,11.4
19790806,23.1,19.2,13.6
19790807,20.1,19.6,16.1
19790808,20.1,15.7,11.3
19790809,20.0,16.6,13.0
19790810,23.6,15.0,9.9
19790811,25.0,19.3,15.0
19790812,21.5,20.6,16.3
19790813,20.4,19.2,16.9
19790814,21.3,18.6,16.7
19790815,21.0,16.0,10.7
19790816,18.3,15.4,9.8
19790817,18.2,16.0,13.7
19790818,19.8,15.4,12.7
19790819,22.8,16.6,13.4
19790820,19.8,17.4,11.9
19790821,19.6,16.6,13.4
