,state,kg,date,region
0,GO,23465603,2020-04-01 00:00:00,brazil
1,ND,11000000,2020-03-01 00:00:00,brazil
2,SP,26261154,2020-03-01 00:00:00,brazil
3,MT,143150016,2020-02-01 00:00:00,brazil
4,MS,118685234,2020-03-01 00:00:00,brazil
5,RO,4420000,2020-01-01 00:00:00,brazil
6,ND,12000000,2020-04-01 00:00:00,brazil
7,MT,126244485,2020-02-01 00:00:00,brazil
8,MT,54992688,2020-04-01 00:00:00,brazil
9,SP,89396,2020-02-01 00:00:00,brazil
10,SC,3350063,2020-04-01 00:00:00,brazil
11,MA,33680012,2020-03-01 00:00:00,brazil
12,ND,279000000,2020-04-01 00:00:00,brazil
13,GO,37875144,2020-03-01 00:00:00,brazil
14,MT,48147296,2020-02-01 00:00:00,brazil
15,TO,7997170,2020-04-01 00:00:00,brazil
16,GO,33570105,2020-04-01 00:00:00,brazil
17,MT,32199817,2020-04-01 00:00:00,brazil
18,MS,3099179,2020-03-01 00:00:00,brazil
19,ND,140000000,2020-04-01 00:00:00,brazil
20,PI,1796711,2020-04-01 00:00:00,brazil
21,SP,35352905,2020-04-01 00:00:00,brazil
22,MT,26900000,2020-04-01 00:00:00,brazil
23,SP,5000000,2020-02-01 00:00:00,brazil
24,PA,54530,2020-02-01 00:00:00,brazil
25,MT,32170050,2020-03-01 00:00:00,brazil
26,MG,11064947,2020-04-01 00:00:00,brazil
27,MT,8749568,2020-03-01 00:00:00,brazil
28,MT,25600712,2020-04-01 00:00:00,brazil
29,GO,27651,2020-04-01 00:00:00,brazil
30,PI,5441640,2020-04-01 00:00:00,brazil
31,MT,231682,2020-02-01 00:00:00,brazil
32,GO,8736402,2020-03-01 00:00:00,brazil
33,SP,3,2020-04-01 00:00:00,brazil
34,ND,10000000,2020-04-01 00:00:00,brazil
35,RO,1452820,2020-01-01 00:00:00,brazil
36,MT,34244690,2020-04-01 00:00:00,brazil
37,DF,30633,2020-02-01 00:00:00,brazil
38,PB,1660553,2020-02-01 00:00:00,brazil
39,MT,1727320,2020-02-01 00:00:00,brazil
40,MT,57137336,2020-02-01 00:00:00,brazil
41,PA,3253921,2020-04-01 00:00:00,brazil
42,GO,38748,2020-03-01 00:00:00,brazil
43,SC,12151584,2020-03-01 00:00:00,brazil
44,MS,133879926,2020-04-01 00:00:00,brazil
45,MT,187050459,2020-04-01 00:00:00,brazil
46,MT,31506250,2020-02-01 00:00:00,brazil
47,RO,109324996,2020-03-01 00:00:00,brazil
48,MG,53098951,2020-01-01 00:00:00,brazil
49,SP,21463346,2020-02-01 00:00:00,brazil
50,MT,35831742,2020-04-01 00:00:00,brazil
51,MT,49242935,2020-04-01 00:00:00,brazil
52,PR,49159571,2020-04-01 00:00:00,brazil
53,MS,19710261,2020-02-01 00:00:00,brazil
54,RO,32076970,2020-03-01 00:00:00,brazil
55,MT,66019448,2020-04-01 00:00:00,brazil
56,MT,156438453,2020-04-01 00:00:00,brazil
57,PR,10834359,2020-04-01 00:00:00,brazil
58,RS,88104150,2020-04-01 00:00:00,brazil
59,PA,2000000,2020-04-01 00:00:00,brazil
60,RS,90587520,2020-02-01 00:00:00,brazil
61,MT,123959445,2020-03-01 00:00:00,brazil
62,MT,80760000,2020-04-01 00:00:00,brazil
63,SP,69,2020-03-01 00:00:00,brazil
64,MS,2270751,2020-04-01 00:00:00,brazil
65,MT,14401604,2020-04-01 00:00:00,brazil
66,MT,84428,2020-01-01 00:00:00,brazil
67,PA,4807904,2020-02-01 00:00:00,brazil
68,RO,82012389,2020-04-01 00:00:00,brazil
69,DF,29667,2020-03-01 00:00:00,brazil
70,BA,3745146,2020-02-01 00:00:00,brazil
71,TO,42900000,2020-04-01 00:00:00,brazil
72,SP,10224652,2020-03-01 00:00:00,brazil
73,ND,267640000,2020-04-01 00:00:00,brazil
74,GO,8238183,2020-03-01 00:00:00,brazil
75,SC,16668911,2020-04-01 00:00:00,brazil
76,RR,2204526,2020-01-01 00:00:00,brazil
77,MG,10225311,2020-02-01 00:00:00,brazil
78,MT,30499515,2020-03-01 00:00:00,brazil
79,MG,380000,2020-03-01 00:00:00,brazil
80,DF,39393,2020-01-01 00:00:00,brazil
81,GO,1000000,2020-01-01 00:00:00,brazil
82,AM,32190,2020-01-01 00:00:00,brazil
83,SC,85106,2020-03-01 00:00:00,brazil
84,SP,2300000,2020-04-01 00:00:00,brazil
85,MS,30000,2020-03-01 00:00:00,brazil
86,PR,2000000,2020-04-01 00:00:00,brazil
87,ND,3570000,2020-03-01 00:00:00,brazil
88,RS,575539,2020-03-01 00:00:00,brazil
89,MT,11500000,2020-04-01 00:00:00,brazil
90,MT,135692165,2020-03-01 00:00:00,brazil
91,MT,12631284,2020-04-01 00:00:00,brazil
92,SC,1231380,2020-01-01 00:00:00,brazil
93,PR,55820956,2020-04-01 00:00:00,brazil
94,SP,10732532,2020-01-01 00:00:00,brazil
95,MT,32999900,2020-04-01 00:00:00,brazil
96,MT,6660389,2020-03-01 00:00:00,brazil
97,PR,39082949,2020-04-01 00:00:00,brazil
98,MS,2892999,2020-04-01 00:00:00,brazil
99,PI,2372539,2020-02-01 00:00:00,brazil
100,BA,72641476,2020-04-01 00:00:00,brazil
101,MT,24209525,2020-03-01 00:00:00,brazil
102,PA,25930000,2020-03-01 00:00:00,brazil
103,SP,82993,2020-04-01 00:00:00,brazil
104,MG,85414631,2020-03-01 00:00:00,brazil
105,TO,34165850,2020-03-01 00:00:00,brazil
106,MT,1080424,2020-03-01 00:00:00,brazil
107,MT,277167751,2020-04-01 00:00:00,brazil
108,GO,285599204,2020-04-01 00:00:00,brazil
109,SC,29614499,2020-02-01 00:00:00,brazil
110,MS,3231450,2020-01-01 00:00:00,brazil
111,MT,72200225,2020-04-01 00:00:00,brazil
112,MT,1500000,2020-04-01 00:00:00,brazil
113,SP,4836049,2020-03-01 00:00:00,brazil
114,MT,27800000,2020-03-01 00:00:00,brazil
115,GO,4437707,2020-02-01 00:00:00,brazil
116,MS,15956044,2020-04-01 00:00:00,brazil
117,ND,20000000,2020-03-01 00:00:00,brazil
118,PA,8074408,2020-03-01 00:00:00,brazil
119,GO,12722742,2020-03-01 00:00:00,brazil
120,GO,322385,2020-04-01 00:00:00,brazil
121,PA,12000000,2020-02-01 00:00:00,brazil
122,RO,14850446,2020-04-01 00:00:00,brazil
123,PA,1500000,2020-04-01 00:00:00,brazil
124,RO,9700000,2020-03-01 00:00:00,brazil
125,RO,4099215,2020-03-01 00:00:00,brazil
126,MA,1549121,2020-01-01 00:00:00,brazil
127,SC,35800393,2020-01-01 00:00:00,brazil
128,PR,1760836,2020-04-01 00:00:00,brazil
129,ND,20000000,2020-04-01 00:00:00,brazil
130,MS,6467365,2020-04-01 00:00:00,brazil
131,PR,13230066,2020-03-01 00:00:00,brazil
132,SP,0,2020-01-01 00:00:00,brazil
133,PR,6400000,2020-04-01 00:00:00,brazil
134,TO,6550957,2020-02-01 00:00:00,brazil
135,MT,947281569,2020-04-01 00:00:00,brazil
136,MT,124426471,2020-01-01 00:00:00,brazil
137,PR,25110036,2020-04-01 00:00:00,brazil
138,PB,5160802,2020-02-01 00:00:00,brazil
139,RO,40500622,2020-03-01 00:00:00,brazil
140,SP,34660618,2020-02-01 00:00:00,brazil
141,MT,58503988,2020-04-01 00:00:00,brazil
142,SP,35928795,2020-04-01 00:00:00,brazil
143,GO,4263898,2020-04-01 00:00:00,brazil
144,SC,6929804,2020-04-01 00:00:00,brazil
145,BA,6690000,2020-01-01 00:00:00,brazil
146,GO,13490683,2020-03-01 00:00:00,brazil
147,MT,5000000,2020-03-01 00:00:00,brazil
148,MT,46533641,2020-04-01 00:00:00,brazil
149,ND,161941180,2020-04-01 00:00:00,brazil
150,MT,22115240,2020-03-01 00:00:00,brazil
151,ND,140000000,2020-04-01 00:00:00,brazil
152,PR,20152343,2020-01-01 00:00:00,brazil
153,AM,12614,2020-02-01 00:00:00,brazil
154,ND,84000000,2020-04-01 00:00:00,brazil
155,GO,5076874,2020-04-01 00:00:00,brazil
156,MA,33737098,2020-02-01 00:00:00,brazil
157,PA,26445932,2020-01-01 00:00:00,brazil
158,TO,22149988,2020-03-01 00:00:00,brazil
159,RS,618284,2020-04-01 00:00:00,brazil
160,SP,6832776,2020-04-01 00:00:00,brazil
161,ND,65700000,2020-02-01 00:00:00,brazil
162,RO,21680000,2020-03-01 00:00:00,brazil
163,SP,17000000,2020-03-01 00:00:00,brazil
164,SP,3673895,2020-04-01 00:00:00,brazil
165,SP,3687850,2020-03-01 00:00:00,brazil
166,TO,3000000,2020-04-01 00:00:00,brazil
167,TO,21241992,2020-03-01 00:00:00,brazil
168,MG,469984,2020-04-01 00:00:00,brazil
169,RS,1000000,2020-03-01 00:00:00,brazil
170,PA,3270432,2020-03-01 00:00:00,brazil
171,PA,2430791,2020-01-01 00:00:00,brazil
172,AC,98000,2020-04-01 00:00:00,brazil
173,MT,212134,2020-01-01 00:00:00,brazil
174,AL,19050000,2020-03-01 00:00:00,brazil
175,GO,3267,2020-04-01 00:00:00,brazil
176,SP,3190910,2020-04-01 00:00:00,brazil
177,GO,304709300,2020-03-01 00:00:00,brazil
178,BA,171770283,2020-03-01 00:00:00,brazil
179,ND,70000000,2020-04-01 00:00:00,brazil
180,PA,3911759,2020-02-01 00:00:00,brazil
181,MG,21549492,2020-04-01 00:00:00,brazil
182,MT,84449662,2020-04-01 00:00:00,brazil
183,MT,68868263,2020-02-01 00:00:00,brazil
184,GO,650129942,2020-03-01 00:00:00,brazil
185,MT,77900000,2020-04-01 00:00:00,brazil
186,GO,35601804,2020-04-01 00:00:00,brazil
187,MS,204226156,2020-03-01 00:00:00,brazil
188,MA,157569903,2020-03-01 00:00:00,brazil
189,GO,12707593,2020-03-01 00:00:00,brazil
190,SP,9159473,2020-04-01 00:00:00,brazil
191,PR,119563942,2020-02-01 00:00:00,brazil
192,RS,1617512,2020-02-01 00:00:00,brazil
193,GO,259220599,2020-02-01 00:00:00,brazil
194,MG,1642413,2020-03-01 00:00:00,brazil
195,RO,13550000,2020-02-01 00:00:00,brazil
196,MT,50735435,2020-02-01 00:00:00,brazil
197,PR,75879829,2020-04-01 00:00:00,brazil
198,PA,6000935,2020-04-01 00:00:00,brazil
199,MS,10087765,2020-04-01 00:00:00,brazil
200,SC,28809301,2020-04-01 00:00:00,brazil
201,MT,46343968,2020-03-01 00:00:00,brazil
202,ND,76000000,2020-04-01 00:00:00,brazil
203,RO,26994630,2020-04-01 00:00:00,brazil
204,MT,7786273,2020-03-01 00:00:00,brazil
205,MT,7091460,2020-04-01 00:00:00,brazil
206,ND,80000000,2020-04-01 00:00:00,brazil
207,PR,8840000,2020-02-01 00:00:00,brazil
208,PI,54288391,2020-04-01 00:00:00,brazil
209,SP,478247,2020-02-01 00:00:00,brazil
210,RO,24396204,2020-02-01 00:00:00,brazil
211,ND,49500000,2020-04-01 00:00:00,brazil
212,DF,6000,2020-04-01 00:00:00,brazil
213,GO,4017310,2020-03-01 00:00:00,brazil
214,MS,22947233,2020-04-01 00:00:00,brazil
215,MS,92997710,2020-04-01 00:00:00,brazil
216,RO,2000000,2020-04-01 00:00:00,brazil
217,MS,1174232,2020-04-01 00:00:00,brazil
218,MS,20818271,2020-04-01 00:00:00,brazil
219,MT,11600000,2020-04-01 00:00:00,brazil
220,MS,20481342,2020-02-01 00:00:00,brazil
221,SC,15182290,2020-01-01 00:00:00,brazil
222,PR,8282921,2020-04-01 00:00:00,brazil
223,DF,33149,2020-04-01 00:00:00,brazil
224,MG,1200462,2020-03-01 00:00:00,brazil
225,TO,1272945,2020-04-01 00:00:00,brazil
226,PA,8500000,2020-04-01 00:00:00,brazil
227,RO,2426450,2020-04-01 00:00:00,brazil
228,MS,2180099,2020-04-01 00:00:00,brazil
229,RJ,250,2020-03-01 00:00:00,brazil
230,MG,4609854,2020-03-01 00:00:00,brazil
231,MT,501873213,2020-03-01 00:00:00,brazil
232,MA,201851288,2020-04-01 00:00:00,brazil
233,TO,17072768,2020-01-01 00:00:00,brazil
234,MT,20773280,2020-04-01 00:00:00,brazil
235,PA,10462492,2020-04-01 00:00:00,brazil
236,MT,27352190,2020-02-01 00:00:00,brazil
237,MG,4474999,2020-04-01 00:00:00,brazil
238,SC,289581225,2020-04-01 00:00:00,brazil
239,MT,39627533,2020-02-01 00:00:00,brazil
240,MT,8867690,2020-03-01 00:00:00,brazil
241,MT,10890371,2020-01-01 00:00:00,brazil
242,SP,776564,2020-03-01 00:00:00,brazil
243,PA,37934377,2020-04-01 00:00:00,brazil
244,PA,29827945,2020-04-01 00:00:00,brazil
245,MT,4132500,2020-04-01 00:00:00,brazil
246,DF,3972993,2020-03-01 00:00:00,brazil
247,MT,6476330,2020-02-01 00:00:00,brazil
248,PA,9950000,2020-04-01 00:00:00,brazil
249,PR,14400000,2020-03-01 00:00:00,brazil
250,MS,4204073,2020-01-01 00:00:00,brazil
251,MT,12370439,2020-03-01 00:00:00,brazil
252,PR,7864683,2020-04-01 00:00:00,brazil
253,RS,54520555,2020-03-01 00:00:00,brazil
