,date,real,usd,region
0,1997-07-29 00:00:00,"18,04","16,66",brazil
1,1997-07-30 00:00:00,"17,97","16,59",brazil
2,1997-07-31 00:00:00,"18,17","16,78",brazil
3,1997-08-01 00:00:00,"18,1","16,71",brazil
4,1997-08-04 00:00:00,"18,23","16,83",brazil
5,1997-08-05 00:00:00,"18,16","16,75",brazil
6,1997-08-06 00:00:00,"18,15","16,74",brazil
7,1997-08-07 00:00:00,"18,07","16,67",brazil
8,1997-08-08 00:00:00,"18,05","16,62",brazil
9,1997-08-11 00:00:00,"17,85","16,44",brazil
10,1997-08-12 00:00:00,"17,99","16,57",brazil
11,1997-08-13 00:00:00,18,"16,57",brazil
12,1997-08-14 00:00:00,"18,07","16,64",brazil
13,1997-08-15 00:00:00,"18,15","16,7",brazil
14,1997-08-18 00:00:00,"18,17","16,69",brazil
15,1997-08-19 00:00:00,"18,25","16,75",brazil
16,1997-08-20 00:00:00,"18,24","16,76",brazil
17,1997-08-22 00:00:00,"18,35","16,82",brazil
18,1997-08-25 00:00:00,"18,48","16,93",brazil
19,1997-08-26 00:00:00,"18,53","16,96",brazil
20,1997-08-27 00:00:00,"18,64","17,07",brazil
21,1997-08-28 00:00:00,"18,77","17,19",brazil
22,1997-08-29 00:00:00,"18,99","17,39",brazil
23,1997-09-01 00:00:00,"19,09","17,49",brazil
24,1997-09-02 00:00:00,"19,21","17,59",brazil
25,1997-09-03 00:00:00,"19,29","17,66",brazil
26,1997-09-04 00:00:00,"19,32","17,69",brazil
27,1997-09-05 00:00:00,"19,37","17,75",brazil
28,1997-09-08 00:00:00,"19,46","17,83",brazil
29,1997-09-09 00:00:00,"19,54","17,91",brazil
30,1997-09-10 00:00:00,"19,6","17,96",brazil
31,1997-09-11 00:00:00,"19,61","17,97",brazil
32,1997-09-12 00:00:00,"19,64","17,98",brazil
33,1997-09-15 00:00:00,"19,61","17,96",brazil
34,1997-09-16 00:00:00,"19,5","17,85",brazil
35,1997-09-17 00:00:00,"19,59","17,92",brazil
36,1997-09-18 00:00:00,"19,63","17,94",brazil
37,1997-09-19 00:00:00,"19,66","17,97",brazil
38,1997-09-22 00:00:00,"19,62","17,93",brazil
39,1997-09-23 00:00:00,"19,59","17,89",brazil
40,1997-09-24 00:00:00,"19,56","17,86",brazil
41,1997-09-25 00:00:00,"19,5","17,81",brazil
42,1997-09-26 00:00:00,"19,46","17,76",brazil
43,1997-09-29 00:00:00,"19,4","17,7",brazil
44,1997-09-30 00:00:00,"19,36","17,66",brazil
45,1997-10-01 00:00:00,"19,24","17,54",brazil
46,1997-10-02 00:00:00,"19,16","17,47",brazil
47,1997-10-03 00:00:00,"19,13","17,44",brazil
48,1997-10-06 00:00:00,"18,97","17,29",brazil
49,1997-10-07 00:00:00,"18,86","17,18",brazil
50,1997-10-08 00:00:00,"18,72","17,06",brazil
51,1997-10-09 00:00:00,"18,62","16,96",brazil
52,1997-10-10 00:00:00,"18,65","16,98",brazil
53,1997-10-13 00:00:00,"18,71","17,03",brazil
54,1997-10-14 00:00:00,"18,75","17,07",brazil
55,1997-10-15 00:00:00,"18,8","17,11",brazil
56,1997-10-16 00:00:00,"18,76","17,07",brazil
57,1997-10-17 00:00:00,"18,73","17,04",brazil
58,1997-10-20 00:00:00,"18,74","17,04",brazil
59,1997-10-21 00:00:00,"18,84","17,13",brazil
60,1997-10-22 00:00:00,"18,91","17,18",brazil
61,1997-10-23 00:00:00,"19,04","17,3",brazil
62,1997-10-24 00:00:00,"19,16","17,41",brazil
63,1997-10-27 00:00:00,"19,21","17,39",brazil
64,1997-10-28 00:00:00,"19,27","17,5",brazil
65,1997-10-29 00:00:00,"19,29","17,51",brazil
66,1997-10-30 00:00:00,"19,32","17,46",brazil
67,1997-10-31 00:00:00,"19,33","17,53",brazil
68,1997-11-03 00:00:00,"19,4","17,6",brazil
69,1997-11-04 00:00:00,"19,49","17,66",brazil
70,1997-11-05 00:00:00,"19,52","17,69",brazil
71,1997-11-06 00:00:00,"19,62","17,73",brazil
72,1997-11-07 00:00:00,"19,67","17,78",brazil
73,1997-11-10 00:00:00,"19,9",18,brazil
74,1997-11-11 00:00:00,"19,95","18,06",brazil
75,1997-11-12 00:00:00,"20,01","18,09",brazil
76,1997-11-13 00:00:00,"20,12","18,16",brazil
77,1997-11-14 00:00:00,"20,21","18,26",brazil
78,1997-11-17 00:00:00,"20,28","18,34",brazil
79,1997-11-18 00:00:00,"20,44","18,49",brazil
80,1997-11-19 00:00:00,"20,49","18,5",brazil
81,1997-11-20 00:00:00,"20,55","18,51",brazil
82,1997-11-21 00:00:00,"20,64","18,61",brazil
83,1997-11-24 00:00:00,"20,71","18,68",brazil
84,1997-11-25 00:00:00,"20,74","18,68",brazil
85,1997-11-26 00:00:00,"20,87","18,79",brazil
86,1997-11-27 00:00:00,"20,84","18,81",brazil
87,1997-11-28 00:00:00,"20,86","18,81",brazil
88,1997-12-01 00:00:00,"20,85","18,8",brazil
89,1997-12-02 00:00:00,"20,87","18,82",brazil
90,1997-12-03 00:00:00,"20,68","18,63",brazil
91,1997-12-04 00:00:00,"20,63","18,58",brazil
92,1997-12-05 00:00:00,"20,56","18,52",brazil
93,1997-12-08 00:00:00,"20,59","18,52",brazil
94,1997-12-09 00:00:00,"20,61","18,55",brazil
95,1997-12-10 00:00:00,"20,6","18,49",brazil
96,1997-12-11 00:00:00,"20,4","18,3",brazil
97,1997-12-12 00:00:00,"20,2","18,09",brazil
98,1997-12-15 00:00:00,"19,99","17,96",brazil
99,1997-12-16 00:00:00,"19,85","17,83",brazil
100,1997-12-17 00:00:00,"19,69","17,68",brazil
101,1997-12-18 00:00:00,"19,52","17,53",brazil
102,1997-12-19 00:00:00,"19,38","17,4",brazil
103,1997-12-22 00:00:00,"19,2","17,22",brazil
104,1997-12-23 00:00:00,"19,13","17,17",brazil
105,1997-12-26 00:00:00,"19,08","17,11",brazil
106,1997-12-29 00:00:00,"18,89","16,95",brazil
107,1997-12-30 00:00:00,"18,76","16,8",brazil
108,1998-01-02 00:00:00,"18,75","16,8",brazil
109,1998-01-05 00:00:00,"18,67","16,73",brazil
110,1998-01-06 00:00:00,"18,55","16,62",brazil
111,1998-01-07 00:00:00,"18,45","16,52",brazil
112,1998-01-08 00:00:00,"18,2","16,25",brazil
113,1998-01-09 00:00:00,"18,07","16,17",brazil
114,1998-01-12 00:00:00,"17,86","15,96",brazil
115,1998-01-13 00:00:00,"17,44","15,6",brazil
116,1998-01-14 00:00:00,"17,33","15,47",brazil
117,1998-01-15 00:00:00,"17,02","15,18",brazil
118,1998-01-16 00:00:00,"16,75","14,94",brazil
