,state,date,precipitation,region
0,BA,1998-01-31 00:00:00,"63,6",brazil
1,BA,1998-02-28 00:00:00,"55,6",brazil
2,BA,1998-03-31 00:00:00,"117,2",brazil
3,BA,1998-04-30 00:00:00,206,brazil
4,BA,1998-05-31 00:00:00,"250,9",brazil
5,BA,1998-06-30 00:00:00,"358,3",brazil
6,BA,1998-07-31 00:00:00,"306,5",brazil
7,BA,1998-08-31 00:00:00,"155,4",brazil
8,BA,1998-09-30 00:00:00,"63,9",brazil
9,BA,1998-10-31 00:00:00,"111,8",brazil
10,BA,1998-11-30 00:00:00,"65,3",brazil
11,BA,1998-12-31 00:00:00,"34,5",brazil
12,BA,1999-01-31 00:00:00,"99,3",brazil
13,BA,1999-02-28 00:00:00,"102,9",brazil
14,BA,1999-03-31 00:00:00,"313,9",brazil
15,BA,1999-04-30 00:00:00,"376,6",brazil
16,BA,1999-05-31 00:00:00,"376,9",brazil
17,BA,1999-06-30 00:00:00,185,brazil
18,BA,1999-07-31 00:00:00,225,brazil
19,BA,1999-08-31 00:00:00,"323,5",brazil
20,BA,1999-09-30 00:00:00,"141,2",brazil
21,BA,1999-10-31 00:00:00,"163,9",brazil
22,BA,1999-11-30 00:00:00,"275,5",brazil
23,BA,1999-12-31 00:00:00,"94,2",brazil
24,BA,2000-01-31 00:00:00,"29,5",brazil
25,BA,2000-02-29 00:00:00,"85,3",brazil
26,BA,2000-03-31 00:00:00,"191,9",brazil
27,BA,2000-04-30 00:00:00,"365,4",brazil
28,BA,2000-05-31 00:00:00,"248,5",brazil
29,BA,2000-06-30 00:00:00,"310,5",brazil
30,BA,2000-07-31 00:00:00,"201,1",brazil
31,BA,2000-08-31 00:00:00,"136,2",brazil
32,BA,2000-09-30 00:00:00,"161,6",brazil
33,BA,2000-10-31 00:00:00,"15,9",brazil
34,BA,2000-11-30 00:00:00,"74,3",brazil
35,BA,2000-12-31 00:00:00,88,brazil
36,BA,2001-01-31 00:00:00,"95,2",brazil
37,BA,2001-02-28 00:00:00,"28,6",brazil
38,BA,2001-03-31 00:00:00,"264,1",brazil
39,BA,2001-04-30 00:00:00,"103,5",brazil
40,BA,2001-05-31 00:00:00,"199,2",brazil
41,BA,2001-06-30 00:00:00,"195,9",brazil
42,BA,2001-07-31 00:00:00,"220,3",brazil
43,BA,2001-08-31 00:00:00,"149,7",brazil
44,BA,2001-09-30 00:00:00,"190,8",brazil
45,BA,2001-10-31 00:00:00,"202,3",brazil
46,BA,2001-11-30 00:00:00,"30,3",brazil
47,BA,2001-12-31 00:00:00,"97,4",brazil
48,BA,2002-01-31 00:00:00,"252,4",brazil
49,BA,2002-02-28 00:00:00,"102,8",brazil
50,BA,2002-03-31 00:00:00,"98,7",brazil
51,BA,2002-04-30 00:00:00,"69,3",brazil
52,BA,2002-05-31 00:00:00,"351,6",brazil
53,BA,2002-06-30 00:00:00,"209,2",brazil
54,BA,2002-07-31 00:00:00,"254,8",brazil
55,BA,2002-08-31 00:00:00,"162,8",brazil
56,BA,2002-09-30 00:00:00,"258,8",brazil
57,BA,2002-10-31 00:00:00,16,brazil
58,BA,2002-11-30 00:00:00,"25,2",brazil
59,BA,2002-12-31 00:00:00,"22,7",brazil
60,BA,2003-01-31 00:00:00,"26,7",brazil
61,BA,2003-02-28 00:00:00,"97,3",brazil
62,BA,2003-03-31 00:00:00,"206,3",brazil
63,BA,2003-04-30 00:00:00,"186,8",brazil
64,BA,2003-05-31 00:00:00,"550,5",brazil
65,BA,2003-06-30 00:00:00,"237,5",brazil
66,BA,2003-07-31 00:00:00,"186,5",brazil
67,BA,2003-08-31 00:00:00,"136,7",brazil
68,BA,2003-09-30 00:00:00,"168,7",brazil
69,BA,2003-10-31 00:00:00,"69,2",brazil
70,BA,2003-11-30 00:00:00,"132,8",brazil
71,BA,2003-12-31 00:00:00,"15,2",brazil
72,BA,2004-01-31 00:00:00,"319,4",brazil
73,BA,2004-02-29 00:00:00,"165,3",brazil
74,BA,2004-03-31 00:00:00,"121,9",brazil
75,BA,2004-04-30 00:00:00,"278,4",brazil
76,BA,2004-05-31 00:00:00,"159,5",brazil
77,BA,2004-06-30 00:00:00,"326,3",brazil
78,BA,2004-07-31 00:00:00,"218,4",brazil
79,BA,2004-08-31 00:00:00,"129,5",brazil
80,BA,2004-09-30 00:00:00,"40,5",brazil
81,BA,2004-10-31 00:00:00,82,brazil
82,BA,2004-11-30 00:00:00,"167,6",brazil
83,BA,2004-12-31 00:00:00,"10,9",brazil
84,BA,2005-01-31 00:00:00,"42,9",brazil
85,BA,2005-02-28 00:00:00,"349,4",brazil
86,BA,2005-03-31 00:00:00,"349,4",brazil
87,BA,2005-04-30 00:00:00,415,brazil
88,BA,2005-05-31 00:00:00,"198,2",brazil
89,BA,2005-06-30 00:00:00,"421,1",brazil
90,BA,2005-07-31 00:00:00,"204,1",brazil
91,BA,2005-08-31 00:00:00,"117,1",brazil
92,BA,2005-09-30 00:00:00,"50,6",brazil
93,BA,2005-10-31 00:00:00,"32,9",brazil
94,BA,2005-11-30 00:00:00,"72,8",brazil
95,BA,2005-12-31 00:00:00,"75,5",brazil
96,BA,2006-01-31 00:00:00,"40,1",brazil
97,BA,2006-02-28 00:00:00,"7,1",brazil
98,BA,2006-03-31 00:00:00,"35,9",brazil
99,BA,2006-04-30 00:00:00,"587,4",brazil
100,BA,2006-05-31 00:00:00,"396,5",brazil
101,BA,2006-06-30 00:00:00,"401,4",brazil
102,BA,2006-07-31 00:00:00,"91,7",brazil
103,BA,2006-08-31 00:00:00,"122,7",brazil
104,BA,2006-09-30 00:00:00,"126,9",brazil
105,BA,2006-10-31 00:00:00,"258,9",brazil
106,BA,2006-11-30 00:00:00,220,brazil
107,BA,2006-12-31 00:00:00,"30,3",brazil
108,BA,2007-01-31 00:00:00,20,brazil
109,BA,2007-02-28 00:00:00,"282,6",brazil
110,BA,2007-03-31 00:00:00,"86,8",brazil
111,BA,2007-04-30 00:00:00,"143,2",brazil
112,BA,2007-05-31 00:00:00,"211,2",brazil
113,BA,2007-06-30 00:00:00,134,brazil
114,BA,2007-07-31 00:00:00,"130,4",brazil
115,BA,2007-08-31 00:00:00,109,brazil
116,BA,2007-09-30 00:00:00,"85,8",brazil
117,BA,2007-10-31 00:00:00,"78,9",brazil
118,BA,2007-11-30 00:00:00,"19,1",brazil
